Feature,Minimum,Maximum,StandardDeviation
smcAC_Mean,-0.196374782986111,-0.0943977864583333,0.0134054140749684
smcAC_RMS,0.921962645507701,4.19008281126205,0.705997193782843
smcAC_Std,0.903904274382791,4.18827939340221,0.709313532977472
smcAC_PeakToPeak,3.642578125,13.7451171875,2.32727206305851
smcAC_Skewness,-0.0366004987335433,0.0549540432173556,0.00838957373870935
smcAC_Kurtosis,1.52209870309526,1.76221754872705,0.0500226382568462
smcAC_CrestFactor,1.65162676654752,2.25519275655716,0.119497091143819
smcAC_MeanFrequency,12.7992861836438,15.0252046725132,0.492797616321845
smcAC_MedianFrequency,11.962890625,14.6484375,0.600116085546604
smcAC_SpectralEntropy,0.245515730492021,0.339132693659039,0.0140155499593199
smcAC_LowBandRatio,0.968676286429673,0.995673224319734,0.00583979231509134
smcAC_MidBandRatio,0.0013256432936719,0.0244649327467485,0.00541475653971362
smcAC_HighBandRatio,0.00300113238659443,0.00927956323915939,0.00114402339335582
smcDC_Mean,3.58649522569444,9.9951171875,2.06239941091566
smcDC_RMS,3.58795342793901,9.9951171875,2.06312781284028
smcDC_Std,0,1.90724515813128,0.237620405954788
smcDC_PeakToPeak,0,8.1982421875,1.05389433362182
smcDC_Skewness,-11.0994711545323,0.271876158493836,1.03989330972937
smcDC_Kurtosis,1.69680414178076,141.133238099846,11.6074873774832
smcDC_CrestFactor,1.04312758084087,15.8100601035219,1.46631523135306
smcDC_MeanFrequency,0.25524491358224,62.5,21.2866336377653
smcDC_MedianFrequency,0.244140625,62.5,22.1925808096277
smcDC_SpectralEntropy,0.173308414724678,0.999999999999982,0.236139353812743
smcDC_LowBandRatio,0.159844054580897,0.998077028285185,0.281468383346101
smcDC_MidBandRatio,0.00190464787072226,0.544334104899604,0.119204982870187
smcDC_HighBandRatio,1.83238440935821e-05,0.52046783625731,0.190093852815576
vib_table_Mean,0.319085828993056,2.32414876302083,0.337461673383898
vib_table_RMS,0.322024203206975,2.33540553907862,0.342234566120852
vib_table_Std,0.0355858909053103,0.571222612427773,0.0905771406939602
vib_table_PeakToPeak,0.2294921875,2.32177734375,0.433260732826674
vib_table_Skewness,-1.19240976265436,2.08043686726818,0.527074357453894
vib_table_Kurtosis,1.61279381491131,11.2928123746204,1.23166412072711
vib_table_CrestFactor,1.98034175273191,9.29728931502067,1.20298907514582
vib_table_MeanFrequency,16.720575695091,67.3067472733903,9.39395748026903
vib_table_MedianFrequency,13.671875,81.298828125,15.2359068268259
vib_table_SpectralEntropy,0.299353607008894,0.728163896824144,0.0674352445645733
vib_table_LowBandRatio,0.0750805252358735,0.941671636579797,0.190331553086003
vib_table_MidBandRatio,0.0264947308311702,0.81257181081269,0.185668883440188
vib_table_HighBandRatio,0.0318336325890329,0.766362184355995,0.147301131026953
