OriginalIndex,CaseID,RunID,ActualVB,PrimaryPrediction,SafetyWeightedPrediction,PrimaryResidual,SafetyWeightedResidual,PrimaryUnderprediction,SafetyWeightedUnderprediction
145,13,15,1.53,0.488367391877684,0.488367391877684,-1.04163260812232,-1.04163260812232,1.04163260812232,1.04163260812232
144,13,14,1.3,0.634628925769567,0.634628925769567,-0.665371074230433,-0.665371074230433,0.665371074230433,0.665371074230433
143,13,13,1.07,0.504564882266138,0.504564882266138,-0.565435117733862,-0.565435117733862,0.565435117733862,0.565435117733862
154,14,10,1.14,0.595360992548198,0.595360992548198,-0.544639007451802,-0.544639007451802,0.544639007451802,0.544639007451802
141,13,11,0.83,0.327070905454266,0.327070905454266,-0.502929094545734,-0.502929094545734,0.502929094545734,0.502929094545734
142,13,12,0.92,0.435252629226116,0.435252629226116,-0.484747370773884,-0.484747370773884,0.484747370773884,0.484747370773884
140,13,10,0.68,0.38697788026936,0.38697788026936,-0.29302211973064,-0.29302211973064,0.29302211973064,0.29302211973064
139,13,9,0.56,0.274233263750269,0.274233263750269,-0.285766736249731,-0.285766736249731,0.285766736249731,0.285766736249731
153,14,9,0.81,0.530430370532235,0.530430370532235,-0.279569629467765,-0.279569629467765,0.279569629467765,0.279569629467765
130,8,6,0.62,0.41689757982172,0.41689757982172,-0.20310242017828,-0.20310242017828,0.20310242017828,0.20310242017828
123,7,7,0.46,0.284482853996641,0.284482853996641,-0.175517146003359,-0.175517146003359,0.175517146003359,0.175517146003359
138,13,8,0.49,0.316940056105331,0.316940056105331,-0.173059943894669,-0.173059943894669,0.173059943894669,0.173059943894669
94,11,23,0.76,0.605740279885056,0.605740279885056,-0.154259720114944,-0.154259720114944,0.154259720114944,0.154259720114944
92,11,21,0.65,0.524979003384299,0.524979003384299,-0.125020996615701,-0.125020996615701,0.125020996615701,0.125020996615701
52,4,7,0.49,0.365671296170965,0.365671296170965,-0.124328703829035,-0.124328703829035,0.124328703829035,0.124328703829035
129,8,5,0.44,0.316558224902843,0.316558224902843,-0.123441775097157,-0.123441775097157,0.123441775097157,0.123441775097157
108,12,14,0.58,0.459752629799816,0.459752629799816,-0.120247370200184,-0.120247370200184,0.120247370200184,0.120247370200184
61,9,9,0.81,0.691706921305231,0.691706921305231,-0.118293078694769,-0.118293078694769,0.118293078694769,0.118293078694769
93,11,22,0.68,0.572196806830794,0.572196806830794,-0.107803193169206,-0.107803193169206,0.107803193169206,0.107803193169206
91,11,20,0.57,0.470520279876044,0.470520279876044,-0.099479720123956,-0.099479720123956,0.099479720123956,0.099479720123956
